url,title,area,salary,company_type,requirements,company_name
https://msearch.51job.com/jobs/changchun/120464868.html?jobtype=0_0&rc=03,大数据部-大数据分析师,长春-高新技术产业开发区,1.5-2万/月,民营公司,本科 | 5-7年,长春市博鸿科技服务有限责任公司
https://msearch.51job.com/jobs/changchun/133686528.html?jobtype=0_1&rc=03,数据分析师,杭州,0.7-1.2万/月,推广民营公司,本科 | 1年,深圳市优阅达数据科技有限公司上海分公司
https://msearch.51job.com/jobs/changchun/133010144.html?jobtype=0_0&rc=03,数据分析师,长春,1-1.5万/月,民营公司,本科 | 3-4年,佰聆数据股份有限公司
https://msearch.51job.com/jobs/changchun/124697619.html?jobtype=0_1&rc=03,8k大数据分析师（应届岗位）,北京,0.8-1.5万/月,推广民营公司,大专 | 无需经验,北京联科数信科技有限公司
https://msearch.51job.com/jobs/changchun/131561336.html?jobtype=0_0&rc=03,数据分析员+双休,长春-南关区,3-4.5千/月,民营公司,无需经验,吉林省翼思网络科技有限公司
https://msearch.51job.com/jobs/changchun/132478265.html?jobtype=0_0&rc=03,数据分析员,长春,3-4千/月,民营公司,本科 | 2年,吉林省新天地超市连锁经营有限公司
https://msearch.51job.com/jobs/changchun/133600536.html?jobtype=0_0&rc=03,数据分析,长春-南关区,6-8千/月,民营公司,大专 | 2年,修正孕婴童事业部
https://msearch.51job.com/jobs/jilinsheng/101565645.html?jobtype=0_0&rc=03,数据分析工程师（大数据分析）,长春-净月经济开发区,5-9千/月,外资（非欧美）,大专 | 5-7年,恩梯梯数据（中国）信息技术有限公司长春分公司
https://msearch.51job.com/jobs/changchun/127850085.html?jobtype=0_0&rc=03,数据挖掘工程师,长春-高新技术产业开发区,0.6-1万/月,上市公司,大专 | 1年,南京迈特望科技股份有限公司
https://msearch.51job.com/jobs/changchun/132619808.html?jobtype=0_0&rc=03,数据分析工程师,长春-高新技术产业开发区,0.8-1万/月,上市公司,大专 | 3-4年,长春金赛药业股份有限公司
https://msearch.51job.com/jobs/changchun/127354908.html?jobtype=0_0&rc=03,数据分析岗,长春,4.5-6千/月,上市公司,本科 | 无需经验,中国平安人寿保险股份有限公司吉林分公司
https://msearch.51job.com/jobs/changchun/132673327.html?jobtype=0_0&rc=03,初级数据工程师,长春-经济技术开发区,0.6-1.5万/月,民营公司,本科 | 无需经验,纬湃汽车电子（长春）有限公司
https://msearch.51job.com/jobs/changchun/133674435.html?jobtype=0_0&rc=03,网络专业设计人员,长春,1.2-1.5万/月,国企,本科 | 1年,吉林吉大通信设计院股份有限公司
https://msearch.51job.com/jobs/changchun/132597451.html?jobtype=0_0&rc=03,助理，数据分析，文职岗位，六险一金04,长春-南关区,3-4.5千/月,民营公司,本科 | 无需经验,贝壳找房·长春站
https://msearch.51job.com/jobs/changchun/114706950.html?jobtype=0_1&rc=03,数据分析师（统计分析方向）,北京,1.5-2万/月,推广民营公司,硕士 | 在校生/应届生,天池创新（北京）软件技术有限公司
https://msearch.51job.com/jobs/changchun/129863727.html?jobtype=0_0&rc=03,数据分析实习生（长春）,长春,3-4.5千/月,外资（欧美）,本科 | 在校生/应届生,亚信科技(中国)有限公司
https://msearch.51job.com/jobs/changchun/125088904.html?jobtype=0_0&rc=03,匠星计划-商业-数据分析岗,长春,6-8千/月,国企,本科 | 在校生/应届生,华润万象生活-商业东北大区
https://msearch.51job.com/jobs/changchun/127974067.html?jobtype=0_1&rc=03,大数据分析师管培生,北京,0.7-1.2万/月,推广民营公司,大专 | 无需经验,北京联科数信科技有限公司
https://msearch.51job.com/jobs/changchun/133600521.html?jobtype=0_0&rc=03,数据分析,长春-南关区,6-8千/月,民营公司,大专 | 2年,修正孕婴童事业部
https://msearch.51job.com/jobs/changchun/133361711.html?jobtype=0_0&rc=03,数据分析专员,长春-南关区,6-8千/月,民营公司,本科 | 3-4年,修正孕婴童事业部
https://msearch.51job.com/jobs/changchun/127973706.html?jobtype=0_1&rc=03,计算机（IT)实习生,北京,0.7-1.2万/月,推广民营公司,大专 | 无需经验,北京联科数信科技有限公司
