title:城市建设用地面积数据,unit:平方公里,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,,,,,879.19,,,1336.74,,,743.59,,,,,,,,,,,,,
,,,2018,1471.75,1899.04,1272.07,950.55,,,,,1312.48,,,731.89,,741.08,,,,,,,,,,,
,,,2017,1465.3,1910.74,1213.18,995.02,,810.11,432.1,510.42,1312.48,486.45,777.23,470.97,426.42,733,932.92,1085.77,338.35,272.72,840.19,463.64,520.4,538.26,352.24,420.85,620
,,,2016,1463.8,1913.3,1179.6,961.7,513.3,770.78,429.97,508.48,1312.46,410.34,769.95,458.06,423.42,728.54,921.45,1063.15,296.06,243.33,481.22,446.2,493.42,506.44,341.23,421.1,583.59
,,,2015,1454.69,2915.56,1115.93,870.18,496.13,604.07,413.78,470.05,1312.48,393.3,735.28,455.19,393.8,643.52,895.32,1045.61,286.14,238.82,462.77,392.93,469.44,459.48,297.44,382.86,465
,,,2014,1586.39,2915.56,1028.82,786.8,434,550.38,406.89,440.1,1312.48,370.88,726.4,443.7,391.48,,888.89,1033.9,294.39,232.6,989.23,383.25,469.44,421.6,366.29,378,465
,,,2013,1504.79,2915.56,920.55,736.35,420,519.19,335.22,424.5,,343.77,708.12,,381.75,687.8,,1019.71,287.51,226.9,708.04,371.67,202.77,409.42,346.82,388.65,455
,,,2012,,,,,318,,498.6,411.92,,335.38,647.22,,374.25,656.52,,1003.94,282.46,220.22,807.7,363.24,364.38,394,336.88,382.35,455
,,,2011,,,,,291.07,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,817.47,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,796.93,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
