title:城镇登记失业人员数数据,unit:万人,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,13.54,,,,,,,,,,,,,,,,,,,,,,,10.2
,,,2019,9.35,19.34,17.4558,26.09,12.52,19.93,7.9984,5.0116,11.1042,5.2979,6.08,3.9557,9.4798,3.535,4.9996,1.1724,5.808,3.5726,8.81,3.5294,8.2805,5.3151,5.708,6.4092,9.6125
,,,2018,7.9,19.41,13.1,25.81,12.48,20.47,6.238,6.913,10.9453,6.8277,6.1821,3.7661,10.03,3.4795,4.4551,1.3378,3.6877,3.4515,8.19,3.5,7.4,4.27,6.1357,6.7,9.6
,,,2017,8.1,22.1,14.3,26,11.51,18.46,5.3196,7.097,29.1727,6.0851,6.3231,3.8816,8.82,4.4013,4.137,1.3687,3.8988,3.4191,12.55,3.2,7.8,3.76,6.7189,6.1,10.2
,,,2016,8,24.3,15.7,25.8,11.29,18.28,5.35,7.0263,27.51,5.1032,6.5428,3.9619,8.96,5.3602,4.2583,1.3822,4.0223,3.3644,11.06,3.4,8,3.72,7.0132,10,10.2
,,,2015,7.8,24.8,14.3,25.1,10.74,17.05,4.8018,7.0148,10.3156,4.3364,6.6189,3.9813,9.54,5.309,4.1697,1.2893,3.4011,3.3513,9.9077,3.2,7.5,3.67,7.0135,9.6,10.4
,,,2014,7.4,,13.4,22.5,10.84,15.33,4.4317,8.4478,10.3032,6.1335,6.6532,3.2992,8.83,5.7597,3.8752,1.2026,5.9065,3.3284,10.15,3.3,7.2,4.03,6.7187,9.1,
,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
