title:基本养老保险参保人数数据,unit:万人,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,768.98,,,,,,,,,961.40,,596.94,,443.43,,,,,110.1,,
,,,2019,1953,1666.7,2290.4,860.1,719.04,,,,,,,,,909.08,,593.08,,,,,,,582.0007,,
,,,2018,1894.8,1652.1,2170.8,844.3,,,,,,,,,,928.372,,597.24,,432.50,,,,,566.3733,,
,,,2017,1817.6,1627.1,2098.2,811.5,,,,,,,,,,1343.0202,,694.49,,,,,,,429.588,,
,,,2016,1762.4,1606.7,2068.1,773.5,,,,,,,,,,1249.1501,,651.66,,,,,,,412.0816,,
,,,2015,1611.9,1573.3,1960.4,686.3,,,,,,,,,,1159.3978,,670.6,,,,,,,,,
,,,2014,1578.9,1535.7,1938,651.5,563.88,,,,,,,,,,,,,,,,,559.48,542.23,281.9,355.8
,,,2013,,,,,540.55,,,,,290.6857,,,,,,,,,,,,530.7,,274.3,345.8
,,,2012,,,,,515.97,,,,,251.76,,,,,,,,,,,,492.62,,250.0185,320.7303
,,,2011,,,,,467.67,442.47,102.6012,167.5368,113.098,198.28,235.78,381.844,121.3,,751.72,,155.3382,135.2032,333.2819,164.7463,285.8896,428.12,,242.6,308.0163
,,,2010,,,,,,,,152.1361,,158.1449,,,,,707.68,,,,,,,383.97,,231.4,293.1
,,,2009,,,,,,304.7,91.6,142.3193,83.99,141.12,188.32,297,118.3,,584.09,,122.55,,210.3,136.58,179,342.24,,226.4,279.5
,,,2008,,,,,,188.87,86.43,139.0073,74.8977,127.743,179.4112,284.9816,117.35,,555.974,,82.2408,93.6119,202.36,128.0673,247.2747,,,,
,,,2007,,,,,,169.41,81.89,132.5,61.1405,,167.45,244.7836,116.5,,508.09,,71.5028,92.8167,193.02,145.9126,231.3888,,,,
,,,2006,,,,,,153.7173,74.12,118.1204,53.4005,,156.6517,250.9246,99.74,,425.93,,70.2744,51.4375,183,105.4054,171.5592,,,,
,,,2005,,,,,,138.6,,,,,,,,,,,65.3325,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,91.55,103.85,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
