title:失业保险参保人数数据,unit:万人,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,1318.4,,548.48,,240.75,,125.24,106.4,195.39,250,329.24,537,101.2,691.82,1222.44,437.86,,141,277.06,213.6,262.6,523.5,318.4,166.5,150.1
,,,2019,1294.7809,984.86,514.9505,335.51,219.99,538.6693,119.0175,106.068,174.64,212,308.64,518.2021,100.21,644.2012,1166.6407,431.1632,165.968,130.7643,258.56,189.7049,239.3431,486.6498,297.2095,160.1294,146.005
,,,2018,1240.7,977.2,489.8,323.4,167.54,489.74,105.8,99.5212,160.663,196.19,289.1189,424.4995,99.21,608.7077,1127.3563,418.6677,154.4478,123.8601,230.21,158.2877,223.6931,459.37,281.82,155.5867,143.2098
,,,2017,1170.9,961.8,466.3,311.3,154.96,416.91,99.3,96.9712,141.36,195.24,267.8539,464.5731,97.36,540.7969,1089.4867,404.006,142.9219,123.2208,210.66,147.19,210.2543,413.2,269.33,152.4292,143.0207
,,,2016,1115,947.3,447.1,302.5,152.73,359.44,96.822,95.8664,128.87,187.63,259.76,354.93,96.96,502.1366,1026.1264,409.1081,129.621,119.5108,192.59,135.78,194.3046,374.16,262.48,140.1,140.1
,,,2015,1082.3,641.8,439.5,295.3,149.62,332.3,92.5291,95.2861,121.4628,172.62,253.6069,354.9261,97.0152,474.0721,974.688,412.1413,118.2321,115.2718,184.05,130.08,189.8035,349.42,252.31,145.0783,139.5482
,,,2014,,634.1,,287.6,,316.15,,,,,,,,,,,111.1165,,,,,,,,
,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
