title:女性人口数数据,unit:万人,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,306.8,,,,,,,,
,,,2007,,,,,,550.91,,368.9,227.9,,302.5,,,,101.5,84.3,311.5,304.23,,302,376.329,,,,
,,,2008,,,,,,558.3,,372.6,231.9,,307.1,,,,108.9,86,315.93,307.5,404.2,302,379.1,,,,
,,,2009,,,,,,566.9,,375,234.7,328.4,310.6,,,390.9,115.2,88,319.9,308.6,405.9,302,380.6,,,,
,,,2010,,,,,383.9,573.32,312.9,376.5,237,356.8,312.8,,,397.1485,122,89.5,321.2,312.8,407,302.8,381.7,,,,
,,,2011,,,,,389.3,581.2,315.2,378.2,339.6,365.9,315.5,,,402.0013,131.7,91,,314.9,403,304.4,383.7,,,,
,,,2012,,,,,392,587.4,268.5,375.7,341.9,446.5,317.1,328.9,,406.5,141.9,91.7,351.5,318.2,400.7,305.9,385.7,349.6,289.4,,
,,,2013,,,,,,,,,,,,332.2727,,412.1703,,,,,,,,,,,
,,,2014,665.7041,723.9855,1636.3286,507.5678,,,,,,,,336.3145,,417.9766,,,,,,,,358.4937,293.2603,298.1,
,,,2015,671.8845,726.5978,1635.3462,511.915,,,,,,,,339.6484,477.9,,,,,,,,,,,298.2,369
,,,2016,679.4076,730.65,1646.8731,713.07,,,326.9,,,,,345.6666,478.5,,,,,,,,,369.5282,297.571,299.6,371.3
,,,2017,682.4731,733.8394,1648.6867,526.1328,420.11,,329.6,,,484,,352.5651,477.9,,,,,,,,,379.1226,300.9525,299.7,373.2
,,,2018,690.1001,738.2342,1657.7556,543.0747,488.58,,332.8,,,502.4,,,476.1,,,,,,433.65,,,389.9012,304.4488,300.2,378.1
,,,2019,699.8093,742.5506,1665.5509,555.8622,498.89,,,,,,,,476.2,,,,,,,,,401.1115,307.6619,302.5,383.9
