title:总人口数数据,unit:万人,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2014,2152,2426,2991,1517,815.29,1210.74,662.6,754.5472,712.81,794.1,648.72,661.1,987.3,842.4169,332.2,191.4,671.4121,674.94,827.31,706.69,904.62,715.76,583.78,594.3,730.84
,,,2015,2171,2415,3017,1547,815.66,1228.1,667.7,753.8335,717.72,810.5,653.4,667.0124,961.4,854.19,369.6,195,680.3579,678.37,829.27,713.2,909.7,723.55,586.57,593.6,730.4
,,,2016,2173,2420,3048,1562,824.93,1398.9,672.8,753.4284,729.83,827.1,662.79,678.2,962.1,870.49,400.4689,200.9352,695.9998,687.06,833.84,723.31,920.4,736,590.96,595.6,733.9
,,,2017,2171,2418,3075,1557,905.68,1604.5,678.3,748.9211,742.76,988.1,680.67,691.07,955,1449.84,445.7355,211.3081,708.7939,766,1089.29,732.12,929.05,753.88,596.93,594.9,736.5
,,,2018,2154,2424,3102,1560,1000.37,1633,685,751.3,808.7,787,843.62,703.549,951.5,51607,497.5038,231.5867,728.8583,774,1108.1,746.04,939.48,980.6,602.96,595.2,745.1
,,,2019,2154,2428,3124,1562,1020.35,1658.1,695,753.8,818.9,1035.2,850,722.603,951.3355,1530.59,541.7885,251.0586,839.45,780,1121.2,890.87,949.98,1036,608.4707,598.7,755.4
