Zone,Company Type,Min Salary,Max Salary,Avg Salary,Experience,In School,Degree,Type
北京市,1,13000,20000,16500,2,0,2,数据分析师
北京市,1,8000,10000,9000,3,0,2,数据分析师
北京市,1,8000,18000,13000,1,0,2,数据分析师
北京市,1,15000,30000,22500,0,0,2,高级分析师
北京市,1,10000,15000,12500,0,0,2,数据分析师
北京市,1,15000,30000,22500,3,0,0,数据分析师
北京市,1,20000,40000,30000,2,0,2,高级分析师
北京市,1,6000,8000,7000,1,0,2,数据分析师
北京市,1,10000,15000,12500,1,0,2,数据分析师
北京市,1,8000,12000,10000,1,0,1,数据分析师
北京市,1,10000,20000,15000,1,0,3,数据分析师
北京市,1,40000,70000,55000,3,0,3,数据分析师
北京市,1,12000,13000,12500,2,0,2,数据分析师
北京市,1,15000,25000,20000,2,0,2,数据分析师
北京市,0,6666,8333,7500,1,0,2,数据分析师
北京市,0,10000,25000,17500,2,0,1,数据分析师
北京市,1,6000,9000,7500,0,0,2,数据分析师
宁波市,1,13000,18000,15500,1,0,2,数据分析师
北京市,0,7000,10000,8500,1,0,2,数据分析师
北京市,0,10000,15000,12500,1,0,2,数据分析师
北京市,1,15000,20000,17500,1,0,2,数据分析师
武汉市,1,12000,20000,16000,1,0,2,数据分析师
武汉市,1,7000,10000,8500,2,0,2,数据分析师
北京市,1,40000,50000,45000,3,0,2,数据分析师
武汉市,1,8000,15000,11500,2,0,1,数据分析师
北京市,1,20000,40000,30000,2,0,2,高级分析师
北京市,1,8000,10000,9000,1,0,2,数据分析师
武汉市,1,5000,8000,6500,0,0,2,数据分析师
武汉市,1,4500,8000,6250,0,0,1,数据分析师
北京市,1,12000,22000,17000,1,0,2,数据分析师
武汉市,1,4500,6000,5250,1,0,1,数据分析师
北京市,0,10000,20000,15000,1,0,2,数据分析师
武汉市,1,10000,16000,13000,2,0,1,数据分析师
北京市,0,8000,10000,9000,1,0,3,数据分析师
上海市,0,15000,30000,22500,2,0,2,数据分析师
武汉市,1,8000,14000,11000,2,0,2,数据分析师
北京市,1,8000,15000,11500,1,0,2,数据分析师
武汉市,1,10000,12000,11000,1,0,2,数据分析师
北京市,1,8000,12000,10000,1,0,2,数据分析师
上海市,1,6000,8000,7000,0,0,1,数据分析师
武汉市,1,6666,8333,7500,2,0,1,数据分析师
武汉市,1,15000,20000,17500,3,0,2,高级分析师
北京市,1,9000,15000,12000,2,0,1,数据分析师
上海市,0,8000,12000,10000,1,0,2,数据分析师
武汉市,1,8000,10000,9000,2,0,1,数据分析师
北京市,0,10000,15000,12500,1,0,1,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
武汉市,1,6000,12000,9000,1,0,1,数据分析师
武汉市,1,6000,8000,7000,0,0,2,数据分析师
北京市,1,10000,15000,12500,1,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
武汉市,1,10000,20000,15000,3,0,2,数据分析师
上海市,1,6000,8000,7000,1,0,1,数据分析师
武汉市,1,8000,15000,11500,2,0,2,数据分析师
北京市,0,12000,18000,15000,1,0,1,数据分析师
上海市,1,10000,15000,12500,2,0,2,数据分析师
武汉市,1,4500,6000,5250,0,0,1,数据分析师
北京市,0,10000,15000,12500,1,0,2,数据分析师
上海市,0,10000,15000,12500,1,0,0,数据分析师
武汉市,1,6000,10000,8000,1,0,2,数据分析师
广州市,1,10000,15000,12500,1,0,1,数据分析师
上海市,1,10000,15000,12500,0,0,2,数据分析师
北京市,1,8000,10000,9000,0,0,1,数据分析师
武汉市,1,8000,15000,11500,1,0,2,数据工程师
上海市,1,14000,25000,19500,2,0,2,数据分析师
武汉市,1,6000,12000,9000,2,0,1,数据分析师
广州市,1,18000,25000,21500,3,0,2,高级分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
北京市,1,10000,15000,12500,1,0,2,高级分析师
武汉市,1,15000,25000,20000,1,0,2,数据分析师
上海市,1,10000,15000,12500,2,0,2,数据分析师
北京市,1,15000,20000,17500,2,0,2,数据分析师
广州市,1,7000,10000,8500,1,0,1,数据分析师
深圳市,1,8000,10000,9000,3,0,1,数据分析师
武汉市,0,8000,12000,10000,1,0,2,数据工程师
北京市,1,11666,12500,12083,1,0,2,数据分析师
上海市,1,15000,30000,22500,0,0,2,高级分析师
广州市,1,10000,15000,12500,1,0,1,数据分析师
北京市,1,7000,12000,9500,1,0,2,数据分析师
深圳市,1,6000,8000,7000,1,0,2,数据分析师
上海市,1,15000,20000,17500,2,0,2,数据分析师
武汉市,1,15000,20000,17500,3,0,2,高级分析师
广州市,1,10000,15000,12500,2,0,2,数据分析师
深圳市,1,6000,8000,7000,0,0,1,数据分析师
北京市,1,10000,15000,12500,2,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
北京市,0,25000,30000,27500,2,0,2,高级分析师
深圳市,1,15000,30000,22500,2,0,2,高级分析师
上海市,1,16666,25000,20833,1,0,2,数据分析师
武汉市,1,6000,8000,7000,2,0,2,数据分析师
北京市,1,6000,12000,9000,1,0,2,高级分析师
广州市,1,8000,12000,10000,1,0,1,高级分析师
上海市,1,15000,25000,20000,1,0,2,数据分析师
武汉市,1,8000,16000,12000,1,0,2,数据分析师
深圳市,1,8000,15000,11500,1,0,1,数据分析师
北京市,1,15000,30000,22500,2,0,3,数据分析师
广州市,1,5500,6500,6000,1,0,0,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
北京市,1,20000,25000,22500,2,0,2,数据分析师
武汉市,1,9000,14000,11500,2,0,2,数据分析师
广州市,1,8000,12000,10000,2,0,2,数据分析师
武汉市,1,10000,15000,12500,2,0,2,数据分析师
北京市,1,8000,12000,10000,1,0,1,数据分析师
深圳市,1,15000,30000,22500,2,0,2,数据分析师
上海市,1,10000,15000,12500,2,0,2,数据分析师
广州市,1,6500,8666,7583,1,0,2,数据分析师
武汉市,0,10000,15000,12500,2,0,2,数据分析师
北京市,1,30000,40000,35000,2,0,2,数据分析师
深圳市,1,20000,25000,22500,1,0,1,数据分析师
武汉市,1,3000,6000,4500,1,0,1,数据分析师
广州市,1,15000,30000,22500,2,0,2,数据分析师
深圳市,1,8000,16000,12000,1,0,2,数据分析师
上海市,1,7000,14000,10500,1,0,2,数据分析师
北京市,1,30000,40000,35000,3,0,2,数据分析师
武汉市,1,8000,10000,9000,1,0,2,数据分析师
上海市,1,8000,15000,11500,1,0,2,数据分析师
广州市,1,10000,20000,15000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,0,0,2,数据分析师
广州市,1,9000,13000,11000,2,0,2,数据分析师
武汉市,1,8000,15000,11500,2,0,2,数据分析师
北京市,1,8000,20000,14000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,2,数据分析师
上海市,1,12000,15000,13500,2,0,2,数据分析师
深圳市,1,15000,20000,17500,2,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,1,数据分析师
