title:房屋竣工面积数据,unit:万平方米,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,1545.7,8150.76,,,,6425.8,1987.72,,5592.05,,,1545.7,,1389.79,,,,,777.86,1273.0,,1799,,,649.5
,,,2019,1343,2670,5069,1656,1020.25,2714.17,485.88,924.413,1481.6,5724.3322,1587.06,3230.35,688.9,2899.19,650.97,,7783.66,389.85,697.5,3402.5403,3605.2864,1727.56,712.14,292.91,666.4
,,,2018,2384.9,3790.92,13780.06,2092.22,969.69,2553.2,324.26,1087.5052,1419.79,4950,5848.46,2744.81,572.8,1601.1901,366.4,382.83,7523.8,722.66,458.63,2366,1625,1636.93,701.5502,326.03,660.64
,,,2017,2671.1,3832.45,13448.18,2023.41,1634.63,3102.5,1419.7462,905.6609,1540.459,4409,1796.3,3537.98,855.8,1496.3804,351.23,611.53,13098931,1155.74,1465.93,2280,1487,4953.3427,2624.3294,343.5,823.03
,,,2016,3594,2840.03,13751.59,2914.25,2233.2,3792.7,468.97,761.9547,1571.1,4829,5012.89,3569.78,1083.3,1642.25,587.81,87.87,1921.23,823.82,1931.86,2298,1426,3937.7219,2313.5718,269.4,903.15
,,,2015,4170.2,2923.42,13542.58,2903.57,2709.14,3148.7,721.96,590.1521,1550.4,4318,2181.84,4156.61,1360.6,2712.01,818.86,499.49,1432.02,1064.05,3326.92,2039,1523,4877.7644,4263.2597,936.4,1036.99
,,,2014,,,12815.64,5549.1,2536.71,,,772.5788,,5240.2,2750.25,,2026.8,,954.77,585.53,1681.04,833.86,,,1136,,4506.9311,1461.7,
,,,2013,,,,,,,,,,,,,,,,440.7257,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
