title:文化馆数数据,unit:个,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,41,17,,23,16,,11,14,,,,193,,1,10,12,,,,15,,,15
,,,2019,20,24,41,17,14,23,16,,10,14,,,,12,8,1,10,12,,,,15,,,
,,,2018,20,25,41,17,14,22,16,,10,14,14,,16,12,8,1,10,12,,,,15,,,
,,,2017,20,25,41,19,14,23,15,,11,14,14,12,,12,8,1,10,12,,,,15,,,
,,,2016,21,24,41,19,,22,,,,,,,,12,8,1,10,12,,,12,15,,,
,,,2015,20,25,41,19,,22,,,,12,,,,12,8,1,10,12,,,12,15,,,
,,,2014,20,25,,,,,,,,12,,,,,8,,,,,10,13,,,,
,,,2013,,,,,,,,,,,,,,,,,,,,10,12,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,10,12,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,10,12,,,,16
,,,2010,,,,,,,,,,,,,,,,,,,,10,,,,,16
,,,2009,,,,,15,,,10,,,,,,,,,,,,10,,,,,16
,,,2008,,,,,15,,,,,,,,,,,,,,,,,,,,16
,,,2007,,,,,14,,,,,,,,,,,,,,,,,,,,16
,,,2006,,,,,,,,,7,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,7,,,,,,,,,,,,,,11,10,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,11,10,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,11,10,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,11,10,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,11,10,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,11,10,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,11,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,11,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,11,,,,,,,,,,,,,
,,,1990,,,,,,,12,,,,,11,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,11,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
