title:民航货运量数据,unit:万吨,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,37.63,,6,,,,6.7,,4.5,117.39,,,,,,,,,11.9,,
,,,2019,166,,14.16,8,,,9,,8.7,,,,5.3,,,,,,,,,41,17.1,,
,,,2018,177,,13.16,8,,,8,,7,,,,4.5,137,,,,,,,,38,16.7,,
,,,2017,175,,13.26,7,,,8,,6.4,,,,4,132,,,,,,,,35,,,
,,,2016,163,387,13,7,,,9.03,,5.8,,,,4,125,,,,,,,,29,,,
,,,2015,158,371,12,8,,,9.2,,5.1,,,,4,116,,,,,10.89,,,25,,,
,,,2014,149,361,12.29,7,,,,,2.5699,,,,,114,,,,,10.23,,,24,,,
,,,2013,,335,,,,,,,,,,,,,,,,,9.8,,,,,,
,,,2012,,338,,,,,,,,,,,,,,,,,9.36,4,,,,,
,,,2011,,356,,,,,,,,,,,,,,,,,9.99,4,,,,,4.3
,,,2010,,,,,,,,,,,,,,,,,,,9.33,3,,,,,5.5
,,,2009,,,,,,,,,,,,,,,,,,,,3,,,,,5.4
,,,2008,,,,,,,,,,,,,,,,,,,,2,,,,,5.7
,,,2007,,,,,,,,,,,18,,,,28,,,,,2,,,5.6,,6.3
,,,2006,,,,,,,,,,,15,,,,21,,,,,,,,3.03,,6.3
,,,2005,,,,,6,,,,,,14,,,,17,,,,,,,,2.35,,
,,,2004,,,,,5,15,,1,,2,3.69,,,,12,,4.3,4,,,,,,,
,,,2003,,,,,4,12.2,,0.98,,0.91,9.68,,,,9.38,,3.5,3.61,,,,,,,
,,,2002,,,,,5,0.001053,,0.00013,,0.0001,,,,,8,,0.000361,0.000363,,,,,,,
,,,2001,,,,,6,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,2,,0.2153,,0.1575,,,,,,,0.04,0.8198,,,0.308,,,0.9323,
,,,1990,,,,,,2,,0.2421,,0.1566,,,,,,,0.03,0.6717,,,0.2208,,,0.7276,
,,,1989,,,,,,1.8,,0.317,,0.1143,,,,,,,0.037,0.6669,,,0.108,,,0.6307,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,0.04,,,0.4184,
,,,1986,,,,,,,,,,,,,,,,,,,,,0.3,,,0.5706,
,,,1985,,,,,,,,,,,,,,,,,,,,,0.0326,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
