title:财政收入数据,unit:万元,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,,,,11295000.0,,,,,,,,,,,,,38430000.0,38542000.0,28356000.0,,
,,,2019,,,,,15338894,,,11000000,14324000,,30233000,,,63360000,,,,,28940700,,40895000,36500413,27849500,,
,,,2018,57859200,71081500,22655400,21062400,14603854,45268200,,12100000,13783300,,27838400,,1477000,,,,,,28829400,,37055000,34574600,26552800,,
,,,2017,54307900,66422600,22523800,23103600,13647091,42222320,,12089000,12511000,,24392300,34731404,,,,,,,26602300,,32220000,29213000,24156100,,
,,,2016,50812600,64061300,22279100,27235000,11356793,33445538,,11505000,11141100,16195000,21985400,31547900,6810000,51740000,,14110668,12310200,9340600,24054200,20892000,,25584128,21457200,,
,,,2015,47238600,55195000,21548300,26671100,11149800,30789634,,10782000,10005034,14195000,20089600,29365500,6560000,51160000,,12792586,11134800,,22166900,20300000,,22387500,20726300,,
,,,2014,40271600,45855500,19220200,23903500,10195600,30961856,,,8806841,12686000,17718500,26888620,6507000,48340000,,11226068,10031000,13573800,19563400,19692000,,,,,
,,,2013,36611100,41095100,41055563,20790700,,28100196,,,,11160000,,27889100,6324000,44300000,,9963650,8838900,,,17476000,26725000,,,,
,,,2012,,,,,,,7914000,,,9746000,,25616731,5814000,43000000,,8624762,7965800,9471400,,16103000,,,,,
,,,2011,,,,,,,7009000,,,8201000,,,,,,7665371,6889500,10374400,,13874000,24078000,,,,9626700
,,,2010,,,,,,,5595600,,,,,,,,,,,8220500,,,,,,,7400000
,,,2009,,,,,,,5436800,,,,,,,,,,,4810400,,,,,,,6193000
,,,2008,,,,,,,5022300,,,,,,,,,,,,,,,,,7913000,568500000
,,,2007,,,,,,,1331000,,,,,,,,,,,,,,,,,,4724000
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,3704000
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,4047000,,,,,,,,,2416800,
,,,2001,,,,,,,,,,,,,,,3402000,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,2829500,,,,,,,,,2281800,
,,,1999,,,,,,,,,,,,,,,1847900,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,1643900,,,,,,,,,1431200,
,,,1997,,,,,,,,,,,,,,,1420600,,,,,,,,,1330400,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
