title:进出口总额数据,unit:万美元,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,9417600.0,,,,1605900.0,,3748700.0,,,32235000.0,,,,,3401500.0,,,,,,,,
,,,2019,41646000,49391000,8395000,10665000,,8439640,1318700,,3221000,,6996000,31909000,365194,,43147600,20015115,,3670161,,,,8115400,,,
,,,2018,41250000,51564900,7900000,12251100,,7536217,1317900,,3081300,,6549100,35411400,318256,,45372921,20333110,1938000,3742202,,,,,,,
,,,2017,32400000,47612300,6660000,11294500,,5830149,781800,1408700,2495869,5963500,6118700,31607900,328280,14323200,41414600,18117300,1388600,3444558,2859700,1047200,7444200,6901300,11219700,6179000,1285000
,,,2016,28230000,43380500,6277200,10265100,2774800,4102173,668100,1416291,1868700,5502800,5021400,27375800,397464,12970600,39843900,17231400,1133200,3164780,2378100,970800,6602300,6799200,9487000,5147000,1133000
,,,2015,31942000,45173300,7447700,11434700,2732400,3942361,1236400,13991121,2033800,5702600,5324000,30535000,477756,13387000,44245863,16767331,1294800,3334237,2807000,991000,7020000,6656600,10046600,5603400,1408000
,,,2014,41554000,46662200,,13391200,2498300,5592156,,2071900,,4643100,5722100,,551696,13059000,48774049,16253046,7725200,3466317,2642900,1048867,7989000,6799800,10470400,6577000,1580000
,,,2013,,,,,1798534,,,2039892,,4274900,,,,11888800,,,,,2175200,957442,7791200,6507000,10032900,6882300,1433000
,,,2012,,,,,1301433,,,1968046,,3585800,,,,11713100,,,,,2035400,913286,7320800,,9657000,6411300,1275000
,,,2011,,,,,1257852,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
